dep,arr,tof_days,c3_km2s2,v_inf_kms,dv1_ms,dv2_ms,total_dv_ms
2027-01-14,2027-09-30,259,1.4584238914652936,1.2076522228958524,1207.6522228958524,1085.610640613544,2293.2628635093965
2027-01-09,2027-09-27,261,1.4586896616426557,1.2077622537745811,1207.762253774581,1083.5942981636704,2291.3565519382514
2027-01-04,2027-09-24,263,1.4588573788573242,1.2078316848209125,1207.8316848209124,1080.7024457018497,2288.534130522762
2026-12-31,2027-09-21,264,1.4591165134345492,1.2079389526936157,1207.9389526936156,1086.0068683788127,2293.9458210724283
2026-12-20,2027-10-28,312,1.4596640483402188,1.2081655715754438,1208.165571575444,1125.5820248499433,2333.747596425387
2026-12-08,2027-10-18,314,1.4600354473811101,1.2083192655010968,1208.3192655010969,1085.4189110608093,2293.738176561906
2027-01-11,2027-09-28,260,1.461246124622889,1.2088201374161869,1208.820137416187,1087.301274946107,2296.121412362294
2026-12-30,2027-09-20,264,1.4618476383638626,1.209068913819168,1209.0689138191678,1090.73304599961,2299.801959818778
2027-01-18,2027-10-03,258,1.4624665793618268,1.2093248444325564,1209.3248444325563,1078.316468627679,2287.641313060235
2027-01-19,2027-10-04,258,1.4627349223670316,1.2094357867894565,1209.4357867894564,1072.9801185787665,2282.415905368223
2026-12-09,2027-10-19,314,1.4629582920987343,1.2095281278658774,1209.5281278658774,1092.5929597830122,2302.1210876488894
2026-12-29,2027-09-19,264,1.4636598513279926,1.209818106711911,1209.818106711911,1095.4645340650195,2305.2826407769307
2027-01-06,2027-09-25,262,1.4639137247010465,1.209923024287515,1209.9230242875149,1084.743751577347,2294.666775864862
2027-01-17,2027-10-02,258,1.4640037508532289,1.209960226971626,1209.960226971626,1083.6780059443233,2293.6382329159496
2026-12-25,2027-09-15,264,1.4642120078195175,1.2100462833377563,1210.0462833377562,1114.5105206228775,2324.5568039606337
2026-12-26,2027-09-16,264,1.4645425112130144,1.2101828420585934,1210.1828420585935,1109.7241194788683,2319.906961537462
2026-12-28,2027-09-18,264,1.4645970990956063,1.210205395416665,1210.205395416665,1100.2044997580442,2310.409895174709
2026-12-27,2027-09-17,264,1.4648021455484455,1.210290108010656,1210.290108010656,1104.956495448485,2315.2466034591407
2027-01-20,2027-10-05,258,1.4648423708583644,1.210306725941141,1210.3067259411412,1067.673110455026,2277.9798363961672
2027-01-03,2027-09-23,263,1.4650593788109687,1.2103963726031934,1210.3963726031934,1085.5381807937842,2295.9345533969777
2027-01-13,2027-09-29,259,1.4651278105955399,1.2104246406098729,1210.4246406098728,1090.9159018957012,2301.340542505574
2026-12-10,2027-10-20,314,1.4662232553578385,1.2108770603813743,1210.8770603813743,1099.977027325559,2310.8540877069336
